OID_,Value,Count,LC16_BPS_200_cup,LC20_SCla_220,BPS_MODEL,BPS_NAME,GROUPVEG,LABEL
120,120,1811.000000000000000,1628,6,14071_41_50_51,Laurentian Pine-Oak Barrens,Hardwood-Conifer,UN
121,121,108.000000000000000,1628,1,14071_41_50_51,Laurentian Pine-Oak Barrens,Hardwood-Conifer,A
122,122,31.000000000000000,1641,120,14940_41_50_51,Laurentian-Acadian Shrub-Herbaceous Wetland Systems,Riparian,Developed
123,123,8.000000000000000,1628,2,14071_41_50_51,Laurentian Pine-Oak Barrens,Hardwood-Conifer,B
124,124,506.000000000000000,1636,180,14750_41_50_51_63_64_65_66,Laurentian-Acadian Floodplain Systems,Riparian,Agriculture
125,125,10.000000000000000,1641,180,14940_41_50_51,Laurentian-Acadian Shrub-Herbaceous Wetland Systems,Riparian,Agriculture
126,126,45.000000000000000,1634,3,14660_50_51,Great Lakes Wooded Dune and Swale,Riparian,C
127,127,4.000000000000000,1616,1,13023_51,Laurentian-Acadian Northern Hardwoods Forest-Northern Sugar Maple-Basswood,Hardwood,A
128,128,43032.000000000000000,1581,4,14770_40_41_50_51,Boreal Acidic Peatland Systems,Riparian,D
129,129,222828.000000000000000,2726,2,13622_41_50,Laurentian-Acadian Northern Pine(-Oak) Forest-Pine Dominated,Hardwood-Conifer,B
130,130,72068.000000000000000,2726,4,13622_41_50,Laurentian-Acadian Northern Pine(-Oak) Forest-Pine Dominated,Hardwood-Conifer,D
131,131,35492.000000000000000,1561,5,13022_41_50_51,Laurentian-Acadian Northern Hardwoods Forest-Hemlock,Hardwood,E
132,132,15098.000000000000000,1561,6,13022_41_50_51,Laurentian-Acadian Northern Hardwoods Forest-Hemlock,Hardwood,UN
133,133,46517.000000000000000,2726,120,13622_41_50,Laurentian-Acadian Northern Pine(-Oak) Forest-Pine Dominated,Hardwood-Conifer,Developed
134,134,115361.000000000000000,1583,4,14810_41_50_51_63,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,Riparian,D
135,135,10260.000000000000000,1561,120,13022_41_50_51,Laurentian-Acadian Northern Hardwoods Forest-Hemlock,Hardwood,Developed
136,136,26108.000000000000000,1583,3,14810_41_50_51_63,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,Riparian,C
137,137,21608.000000000000000,2726,6,13622_41_50,Laurentian-Acadian Northern Pine(-Oak) Forest-Pine Dominated,Hardwood-Conifer,UN
138,138,6802.000000000000000,1568,4,13651_40_41_50,Boreal White Spruce-Fir-Hardwood Forest-Inland,Conifer,D
139,139,10771.000000000000000,1581,3,14770_40_41_50_51,Boreal Acidic Peatland Systems,Riparian,C
140,140,485.000000000000000,1581,2,14770_40_41_50_51,Boreal Acidic Peatland Systems,Riparian,B
141,141,6128.000000000000000,1561,7,13022_41_50_51,Laurentian-Acadian Northern Hardwoods Forest-Hemlock,Hardwood,UE
142,142,23711.000000000000000,2726,7,13622_41_50,Laurentian-Acadian Northern Pine(-Oak) Forest-Pine Dominated,Hardwood-Conifer,UE
143,143,5081.000000000000000,2726,5,13622_41_50,Laurentian-Acadian Northern Pine(-Oak) Forest-Pine Dominated,Hardwood-Conifer,E
144,144,1642.000000000000000,1581,120,14770_40_41_50_51,Boreal Acidic Peatland Systems,Riparian,Developed
145,145,431.000000000000000,1561,2,13022_41_50_51,Laurentian-Acadian Northern Hardwoods Forest-Hemlock,Hardwood,B
146,146,30582.000000000000000,2726,180,13622_41_50,Laurentian-Acadian Northern Pine(-Oak) Forest-Pine Dominated,Hardwood-Conifer,Agriculture
147,147,69859.000000000000000,1573,3,14072_41_50_51,Laurentian Pine-Oak Barrens-Jack Pine,Conifer,C
148,148,40806.000000000000000,1569,4,13660_50,Laurentian-Acadian Pine-Hemlock-Hardwood Forest,Hardwood-Conifer,D
149,149,33817.000000000000000,1562,5,13022_41_50_51,Laurentian-Acadian Northern Hardwoods Forest-Hemlock,Hardwood,E
150,150,17279.000000000000000,1562,6,13022_41_50_51,Laurentian-Acadian Northern Hardwoods Forest-Hemlock,Hardwood,UN
151,151,6647.000000000000000,1561,3,13022_41_50_51,Laurentian-Acadian Northern Hardwoods Forest-Hemlock,Hardwood,C
152,152,6942.000000000000000,1573,7,14072_41_50_51,Laurentian Pine-Oak Barrens-Jack Pine,Conifer,UE
153,153,1512.000000000000000,1581,7,14770_40_41_50_51,Boreal Acidic Peatland Systems,Riparian,UE
154,154,6778.000000000000000,1573,180,14072_41_50_51,Laurentian Pine-Oak Barrens-Jack Pine,Conifer,Agriculture
155,155,3.000000000000000,1581,5,14770_40_41_50_51,Boreal Acidic Peatland Systems,Riparian,E
156,156,1747.000000000000000,1583,2,14810_41_50_51_63,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,Riparian,B
157,157,148.000000000000000,1581,1,14770_40_41_50_51,Boreal Acidic Peatland Systems,Riparian,A
158,158,3172.000000000000000,1562,3,13022_41_50_51,Laurentian-Acadian Northern Hardwoods Forest-Hemlock,Hardwood,C
159,159,1876.000000000000000,1581,180,14770_40_41_50_51,Boreal Acidic Peatland Systems,Riparian,Agriculture
160,160,2103.000000000000000,1583,120,14810_41_50_51_63,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,Riparian,Developed
161,161,11385.000000000000000,1562,120,13022_41_50_51,Laurentian-Acadian Northern Hardwoods Forest-Hemlock,Hardwood,Developed
162,162,3076.000000000000000,2726,1,13622_41_50,Laurentian-Acadian Northern Pine(-Oak) Forest-Pine Dominated,Hardwood-Conifer,A
163,163,8128.000000000000000,1569,180,13660_50,Laurentian-Acadian Pine-Hemlock-Hardwood Forest,Hardwood-Conifer,Agriculture
164,164,21185.000000000000000,1561,180,13022_41_50_51,Laurentian-Acadian Northern Hardwoods Forest-Hemlock,Hardwood,Agriculture
165,165,5281.000000000000000,1569,120,13660_50,Laurentian-Acadian Pine-Hemlock-Hardwood Forest,Hardwood-Conifer,Developed
166,166,6691.000000000000000,1562,7,13022_41_50_51,Laurentian-Acadian Northern Hardwoods Forest-Hemlock,Hardwood,UE
167,167,3769.000000000000000,1569,7,13660_50,Laurentian-Acadian Pine-Hemlock-Hardwood Forest,Hardwood-Conifer,UE
168,168,3329.000000000000000,1583,7,14810_41_50_51_63,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,Riparian,UE
169,169,32.000000000000000,1569,1,13660_50,Laurentian-Acadian Pine-Hemlock-Hardwood Forest,Hardwood-Conifer,A
170,170,1493.000000000000000,1583,1,14810_41_50_51_63,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,Riparian,A
171,171,3137.000000000000000,1583,180,14810_41_50_51_63,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,Riparian,Agriculture
172,172,19696.000000000000000,1562,180,13022_41_50_51,Laurentian-Acadian Northern Hardwoods Forest-Hemlock,Hardwood,Agriculture
173,173,266.000000000000000,1581,6,14770_40_41_50_51,Boreal Acidic Peatland Systems,Riparian,UN
174,174,10741.000000000000000,1586,4,14940_41_50_51,Laurentian-Acadian Shrub-Herbaceous Wetland Systems,Riparian,D
175,175,432.000000000000000,1562,2,13022_41_50_51,Laurentian-Acadian Northern Hardwoods Forest-Hemlock,Hardwood,B
176,176,13418.000000000000000,1573,120,14072_41_50_51,Laurentian Pine-Oak Barrens-Jack Pine,Conifer,Developed
177,177,28183.000000000000000,1580,3,14750_41_50_51_63_64_65_66,Laurentian-Acadian Floodplain Systems,Riparian,C
178,178,21612.000000000000000,1580,6,14750_41_50_51_63_64_65_66,Laurentian-Acadian Floodplain Systems,Riparian,UN
179,179,1084.000000000000000,1580,7,14750_41_50_51_63_64_65_66,Laurentian-Acadian Floodplain Systems,Riparian,UE
180,180,757.000000000000000,1580,2,14750_41_50_51_63_64_65_66,Laurentian-Acadian Floodplain Systems,Riparian,B
181,181,572.000000000000000,1580,180,14750_41_50_51_63_64_65_66,Laurentian-Acadian Floodplain Systems,Riparian,Agriculture
182,182,1536.000000000000000,1580,120,14750_41_50_51_63_64_65_66,Laurentian-Acadian Floodplain Systems,Riparian,Developed
183,183,41.000000000000000,1569,3,13660_50,Laurentian-Acadian Pine-Hemlock-Hardwood Forest,Hardwood-Conifer,C
184,184,167.000000000000000,1573,1,14072_41_50_51,Laurentian Pine-Oak Barrens-Jack Pine,Conifer,A
185,185,44.000000000000000,1573,2,14072_41_50_51,Laurentian Pine-Oak Barrens-Jack Pine,Conifer,B
186,186,86.000000000000000,1569,2,13660_50,Laurentian-Acadian Pine-Hemlock-Hardwood Forest,Hardwood-Conifer,B
187,187,677.000000000000000,1568,120,13651_40_41_50,Boreal White Spruce-Fir-Hardwood Forest-Inland,Conifer,Developed
188,188,812.000000000000000,1568,7,13651_40_41_50,Boreal White Spruce-Fir-Hardwood Forest-Inland,Conifer,UE
189,189,31.000000000000000,1570,120,13940_50_51,North-Central Interior Oak Savanna,Hardwood,Developed
190,190,894.000000000000000,1568,180,13651_40_41_50,Boreal White Spruce-Fir-Hardwood Forest-Inland,Conifer,Agriculture
191,191,106.000000000000000,1586,2,14940_41_50_51,Laurentian-Acadian Shrub-Herbaceous Wetland Systems,Riparian,B
192,192,3900.000000000000000,1586,6,14940_41_50_51,Laurentian-Acadian Shrub-Herbaceous Wetland Systems,Riparian,UN
193,193,6.000000000000000,1586,3,14940_41_50_51,Laurentian-Acadian Shrub-Herbaceous Wetland Systems,Riparian,C
194,194,17.000000000000000,1568,3,13651_40_41_50,Boreal White Spruce-Fir-Hardwood Forest-Inland,Conifer,C
195,195,16.000000000000000,1563,180,13100_44_50,North-Central Interior Dry-Mesic Oak Forest and Woodland,Hardwood,Agriculture
196,196,86.000000000000000,1563,3,13100_44_50,North-Central Interior Dry-Mesic Oak Forest and Woodland,Hardwood,C
197,197,404.000000000000000,1563,120,13100_44_50,North-Central Interior Dry-Mesic Oak Forest and Woodland,Hardwood,Developed
198,198,77.000000000000000,1563,4,13100_44_50,North-Central Interior Dry-Mesic Oak Forest and Woodland,Hardwood,D
199,199,11.000000000000000,1563,7,13100_44_50,North-Central Interior Dry-Mesic Oak Forest and Woodland,Hardwood,UE
200,200,3.000000000000000,1563,5,13100_44_50,North-Central Interior Dry-Mesic Oak Forest and Woodland,Hardwood,E
201,201,169.000000000000000,1586,7,14940_41_50_51,Laurentian-Acadian Shrub-Herbaceous Wetland Systems,Riparian,UE
202,202,153.000000000000000,1568,1,13651_40_41_50,Boreal White Spruce-Fir-Hardwood Forest-Inland,Conifer,A
203,203,354.000000000000000,1586,120,14940_41_50_51,Laurentian-Acadian Shrub-Herbaceous Wetland Systems,Riparian,Developed
204,204,1.000000000000000,1580,1,14750_41_50_51_63_64_65_66,Laurentian-Acadian Floodplain Systems,Riparian,A
205,205,1.000000000000000,1641,3,14940_41_50_51,Laurentian-Acadian Shrub-Herbaceous Wetland Systems,Riparian,C
206,206,1476.000000000000000,1584,120,14920_41_50_51_52_63,Great Lakes Coastal Marsh Systems,Riparian,Developed
207,207,45400.000000000000000,1584,6,14920_41_50_51_52_63,Great Lakes Coastal Marsh Systems,Riparian,UN
208,208,415.000000000000000,1584,2,14920_41_50_51_52_63,Great Lakes Coastal Marsh Systems,Riparian,B
209,209,624.000000000000000,1584,7,14920_41_50_51_52_63,Great Lakes Coastal Marsh Systems,Riparian,UE
210,210,233.000000000000000,1584,180,14920_41_50_51_52_63,Great Lakes Coastal Marsh Systems,Riparian,Agriculture
211,211,93.000000000000000,1584,3,14920_41_50_51_52_63,Great Lakes Coastal Marsh Systems,Riparian,C
212,212,1.000000000000000,1577,3,14440_41_50_51,Eastern Boreal Floodplain,Hardwood,C
213,213,8293.000000000000000,1578,3,14660_50_51,Great Lakes Wooded Dune and Swale,Riparian,C
214,214,464.000000000000000,1578,120,14660_50_51,Great Lakes Wooded Dune and Swale,Riparian,Developed
215,215,72.000000000000000,1578,4,14660_50_51,Great Lakes Wooded Dune and Swale,Riparian,D
216,216,56.000000000000000,1578,1,14660_50_51,Great Lakes Wooded Dune and Swale,Riparian,A
217,217,38.000000000000000,1578,7,14660_50_51,Great Lakes Wooded Dune and Swale,Riparian,UE
218,218,29.000000000000000,1578,180,14660_50_51,Great Lakes Wooded Dune and Swale,Riparian,Agriculture
219,219,173.000000000000000,1576,6,14210_31_38_42_43_44_50_51,Central Tallgrass Prairie,Grassland,UN
220,220,85.000000000000000,1575,120,14120_39_40_41_42_43_50_51,North-Central Interior Sand and Gravel Tallgrass Prairie,Grassland,Developed
221,221,174.000000000000000,1575,6,14120_39_40_41_42_43_50_51,North-Central Interior Sand and Gravel Tallgrass Prairie,Grassland,UN
222,222,3.000000000000000,1575,7,14120_39_40_41_42_43_50_51,North-Central Interior Sand and Gravel Tallgrass Prairie,Grassland,UE
223,223,10.000000000000000,1561,1,13022_41_50_51,Laurentian-Acadian Northern Hardwoods Forest-Hemlock,Hardwood,A
224,224,38.000000000000000,1576,120,14210_31_38_42_43_44_50_51,Central Tallgrass Prairie,Grassland,Developed
225,225,2.000000000000000,1576,180,14210_31_38_42_43_44_50_51,Central Tallgrass Prairie,Grassland,Agriculture
226,226,4.000000000000000,1640,1,14920_41_50_51_52_63,Great Lakes Coastal Marsh Systems,Riparian,A
227,227,1.000000000000000,1576,7,14210_31_38_42_43_44_50_51,Central Tallgrass Prairie,Grassland,UE
228,228,10.000000000000000,1564,7,13110_50,North-Central Interior Dry Oak Forest and Woodland,Hardwood,UE
229,229,5.000000000000000,1564,180,13110_50,North-Central Interior Dry Oak Forest and Woodland,Hardwood,Agriculture
230,230,8.000000000000000,1564,120,13110_50,North-Central Interior Dry Oak Forest and Woodland,Hardwood,Developed
231,231,12.000000000000000,1586,1,14940_41_50_51,Laurentian-Acadian Shrub-Herbaceous Wetland Systems,Riparian,A
232,232,195.000000000000000,1586,180,14940_41_50_51,Laurentian-Acadian Shrub-Herbaceous Wetland Systems,Riparian,Agriculture
233,233,3.000000000000000,1573,4,14072_41_50_51,Laurentian Pine-Oak Barrens-Jack Pine,Conifer,D
234,234,1.000000000000000,1562,1,13022_41_50_51,Laurentian-Acadian Northern Hardwoods Forest-Hemlock,Hardwood,A
235,235,22.000000000000000,1563,1,13100_44_50,North-Central Interior Dry-Mesic Oak Forest and Woodland,Hardwood,A
236,236,11.000000000000000,1578,2,14660_50_51,Great Lakes Wooded Dune and Swale,Riparian,B
237,237,1.000000000000000,1576,1,14210_31_38_42_43_44_50_51,Central Tallgrass Prairie,Grassland,A
